QCM || Question 1 :  Virus: || V:  peut infecter des bactéries, des cellules animales ou végétales | V:  sont répliqués par la cellule quʼils parasitent |   ne peut infecter que lʼhomme | V:  nʼont pas les capacités propre de synthèse protéique |   ont une structure procaryote | V: sont des microorganismes parasites |   sont des microorganismes commensales | V:  sont répliqués dans le cytoplasme ou dans le noyau de la cellule hôte |   sont appelé aussi viroïdes |   ont des capacités de synthèse de protéines mais pas de synthèse dʼénergie
QCM || Question 212 :  A propos de la fasciite nécrosante, nous pouvons dire : ||   L'une des associations synergiques expliquant l'évolution fulminante est celle entre Streptococcus aureus et Stapylococcus agalactiae. | V:  Elle a une étiologie mixte, impliquant des bactéries anaérobies et facultativement anaérobies. |   Meilleure combinaison d'antibiotiques : pénicilline et isoniazide. | V:  L'une des associations synergiques qui explique l'évolution fulminante est celle entre les anaérobies (Clostridium, Bacteroides) et les bactéries facultatives-anaérobies. | V:  Le traitement est complexe : antibiothérapie, débridement chirurgical et/ou fasciotomie, plus traitement de soutien. |  L'une des associations synergiques expliquant l'évolution fulminante est celle entre Streptococcus pyogenes et Stapylococcus aureus. | V:  Association antibiotique la plus appropriée : pénicilline et imidazole. | V:  Deux types de bactéries agissent en synergie |   L'association antibiotique la plus adaptée : amoxicilline et mébendazole. |   L'une des associations synergiques expliquant l'évolution fulminante est celle entre les anaérobies (Pseudomonas, Acinetobacter) et les bactéries facultatives-anaérobies.
QCM || Question 213 :  Au sujet des infections profondes de l'espace cervical, nous pouvons dire: || V:  Ce sont des infections d'origine odontogène ou oropharyngée qui s'étendent à l'espace cervical profond |   Reconnaître uniquement l'origine oropharyngée |   La thérapie ne pose pas de problème, nous pouvons admettre des antibiotiques à spectre étroit. | V:  Il peut s'agir d'infections des espaces autour du visage : masticatoire, buccal, canin, parotidien | V:  Il peut s'agir d'infections de la région suprahyoïdienne : submandibulaire, sublinguale, pharyngée | V: Comme étiologie ont été isolés : Staphylococcus aureus, Streptococcus pyogenes, Prevotella, Porphyromonas ou Fusobacterium. |   Reconnaître uniquement l'origine odontogène | V:  Il peut s'agir d'infections de la région sous-hyoïdienne : rétropharyngienne, prétrachéale. |   Seules les bactéries anaérobies ont été impliquées dans l'étiologie. |   En ce qui concerne l'étiologie, seules des bactéries facultatives-anaérobies ont été impliquées.
QCM || Question 214 :  A propos des suppurations, nous pouvons dire: || V:  Le traitement est souvent chirurgical | V:  Ce sont des infections dans lesquelles du pus est produit et éliminé. | V:  Il s'agit d'infections aiguës ou chroniques | V:  Les antibiotiques ne sont utiles que dans certains cas. | V:  Ce sont des infections d'étiologie bactérienne |  Les patients les plus exposés aux infections suppuratives sont ceux qui souffrent de dépression. |   Les suppurations nosocomiales sont les plus fréquentes dans les cabinets dentaires. |   Infections d'étiologie virale le plus souvent |   L'immunosuppression n'est pas un facteur dans cette catégorie d'infections. |   Un traitement antibiotique est toujours nécessaire si l'infection est purulente.
QCM || Question 215 :  Microscope optique: || V: peut être utilisé pour observer la mobilité des micro-organismes |  permet de mettre en évidence les virus | V: la coloration des micro-organismes nʼest pas absolument nécessaire pour les observer |  la coloration des micro-organismes est absolument nécessaire | V: permet la visualisation de micro-organismes avec des dimensions de lʼordre du millimètres |  se compose dʼune partie optique et dʼune partie électronique | V: peut être utilisé pour mettre en évidence les bactéries |  on lʼappelle aussi microscope électronique | V: permet la visualisation de micro-organismes avec des dimensions de lʼordre du microns |  a été créé au XIXe siècle
QCM || Question 216 :  Louis Pasteur: || V: a discrédité la théorie de lʼapparition spontanée des germes |  il est le premier chercheur a observer des bactéries |  il était un chercheur dʼorigine allemande | il était docteur microbiologist | V: a développé les premiers vaccins |  il a découvert la pénicilline |  est considéré comme le pere de la médecine | V: a étudié les maladies du lait et du vin | V: a mis les bases de la stérilisation et du travail aseptique | V:  Il était biochimiste
QCM || Question 217 : Alexander Fleming: || V: il était un chercheur dʼorigine écossaise |  a découverts les champignons | est considéré comme le père de la médecine | V:  il était médecin microbiologiste |  était un chercheur dʼorigine allemande | V: il a découvert le premier antibiotique introduit en thérapie |  il était chimiste médical | V: il a découvert la pénicilline | V: a reçu le prix Nobel pour sa découverte de la pénicilline |  est le premier chercheur a observer des bactéries
QCM || Question 218 : Antonie van Leeuvenhoeck: ||  a mis en place le premier microscope optique |  était chercheur français | V: a étudié les bactéries présentes dans la substance blanche sur la dent | V: a dessiné les bactéries orales quʼil appelait animalcula | V: découverts les streptocoques oraux |  est connu pour avoir découvert le microscope électronique |  découvert la pénicilline |  a vécu dans lʼentre-deux-guerres | V: est le premier chercheur a observer et a dessiner des bactéries buccales | V: était un chercheur dʼorigine néerlandaise
QCM || Question 219 :  Robert Koch: ||   a vécu dans lʼentre-deux-guerres | V: a découvert le bacille de la tuberculose | V: était un médecin stagiaire |  découverts les streptocoques oraux |   a découvert la pénicilline |   était chercheur français | V: était un chercheur dʼorigine allemande | V: a élaboré trois postulats qui sont a la base du diagnostic étiologique des infections |     est connu pour avoir découvert le microscope électronique | V:  a réalisé les milieux de culture solides
QCM || Question 220 :  La classification phénotypique des bactéries est faite selon les critères suivants: : || V: sensibilité aux antibiotiques |  ribotype bactérien |  séquence spécifique dʼADN bactérien | V: l'affinité tinctoriale dans la coloration de Gram |  caractères oncogénétiques |  particularités taxonomiques de la bactérie | V: caractères antigéniques | V: aspect des colonies | V: caractères métaboliques |  contenu en guanine/cytosine
QCM || Question 221 :  La classification génotypique tient compte des criteres suivants: : || V: homologie a lʼhybridation de lʼADN bactérien |  sérotype bactérien | V: séquence spécifique de lʼADN de plasmide | V:  contenu en guanine/cytosine | V: ribotype bactérien |  lysotype bactérien | caractères taxonomiques |  antibiotype | V: séquence spécifique de lʼADN bactérien |  les caractéristiques du genre bactérien
QCM || Question 222 :  Dans la classification analytique des bactéries: : ||   lʼunité de classification est la famille |   le nom de lʼespèce est écrit avec la majuscule | V:  les noms des espèces bactériennes sont écrits en italique | V:  lʼespèce a un nom binaire |   le genre comprend plusieurs familles | V: lʼespèce est lʼunité taxonomique de base |   le nom du genre est écrit avec la petite lettre | V:  un genre peut avoir une ou plusieurs espèces | V:  une famille comprend plusieurs genres |   la famille se compose de plusieurs types de bactéries
QCM || Question 223 :  Les caractères taxonomiques primaires, utiles pour identifier les espèces bactériennes sont: || V: la spore bactérienne | V: mobilité des bactéries |  pilis bactériens | V: forme de bactérie | V: la présence des flagelles, leur nombre et leur disposition |  glycocalix bactérien | V:  affinité tinctoriale dans les colorations différentielles |   bactériophages |   cytoplasme bactérien |   pilis sexuels
QCM || Question 224 :  Nom dʼune espèce bactérienne : ||   le nom de lʼespèce est écrit en lettres majuscules | V: le nom de lʼespèce est écrit avec la petite lettre |   le nom du genre est écrit en bold |   le nom de famille est écrit en bold |   lʼespèce a un nom simple lié a lʼun de ses caractères | V:  dans les textes imprimés, les noms des espèces bactériennes sont écrits en italique | V: est réalisé par un comité international de taxonomie bactérienne | V:  le nom du genre bactérien est écrit avec la lettre majuscule | 	est donné par celui qui isole lʼespèce bactérienne | V:  lʼespèce a un nom binaire qui inclut le nom du genre auquel lʼespèce appartient
QCM || Question 225 :  A propos de la paroi bactérienne, nous pouvons dire: ||   est de nature lipoprotéique |   est inhibé par les antibiotiques macrolides | V:  a un rôle dans la protection de la bactérie contre les agents de décontamination |   est une structure facultative de bactéries | V:  les mycoplasmes nʼont pas de paroi bactérienne |  on le trouve a lʼextérieur de la bactérie, après la capsule | V:  donne la forme spécifique de la bactérie | V:  conditionne la sensibilité de la bactérie a certaines classes dʼantibiotiques |   les procaryotes ont des glycoprotéines de paroi codées par la cellule hôte | V:  est une structure présente chez presque toutes les bactéries
QCM || Question 226 :  Les structures bactériennes obligatoires sont les suivantes : ||  capsule bactérienne | V:   ribosomes | V:   nucléoplasme bactérien | V:   cytoplasme bactérien | V:    la paroi bactérienne | 	pilis communes | V:   la membrane cytoplasmique |    flagelles |   	pilis sexuels |  	spores bactériennes
QCM || Question 227 :  A propos du cytoplasme bactérien, nous pouvons dire: || V: contient la nucléoplasme bactérienne | V: contient des ribosomes bactériens | V: est un hydrogel colloïdal |  est a lʼétat permanent du sol |  est une structure impliquée dans la réplication des bactéries |  contient des mitochondries | contient des enzymes digestives | V: peut contenir des inclusions | V: est en permanence dans un état de gel |  Contient du lysosomes
QCM || Question 228 :  Membrane cytoplasmique de bactéries: ||   est composé de cholestérol | V:  a une perméabilité sélective |   on le trouve à lʼextérieur de la paroi bactérienne |   a pour rôle de protection contre les agents physiques | V:  est impliqué dans la synthèse de la paroi bactérienne |  est le siège de la synthèse des protéines chez les bactéries | V:  sa fonction peut être affectée par certains antibiotiques ou certains désinfectants | V:  est constitué dʼune double couche de phospholipides | V:  est le siège du métabolisme énergétique chez les bactéries |   est bordé dʼune capsule bactérienne
QCM || Question 229 :  Le peptidoglycan : || V:  on lʼappelle aussi mureine | V:  est une structure macromoléculaire rigide |   a un rôle antiphagocytaire |   on lʼappelle aussi muraminidase |   est une structure présente uniquement dans la paroi des mycobactéries | V: représente la cible dʼaction du lysozyme |   est impliqué dans la synthèse de la capsule bactérienne |   a une spécificité dʼespèce | V:  représente la cible dʼaction des pénicillines | V:  est un composant constant de la paroi bactérienne
QCM || Question 230 :  La paroi des bactéries à Gram positif: || V:  conditionne lʼaffinité tinctoriale de ces bactéries | V:  est plus épaisse que celle des bactéries à Gram négatif | V:  Contient des acides teichoique et lipotéichoique |   se compose principalement de transpeptidases |   contient la membrane externe de ces bactéries |  est la cible de lʼaction des aminosides | V: se compose principalement de peptidoglycan	 |     est plus épaisse que les bactéries anaérobies | V:  peut contenir des protéines de surface
QCM || Question 231 :  La paroi des bactéries à Gram négatif: || V:  contient une membrane externe |   est une structure flexible qui permet la diapédèse des bactéries dans les tissus |   contient principalement du peptidoglycane | V:  délimite lʼespace périplasmique a lʼintérieur | V:  contient du peptidoglycane dans un réseau bidimensionnel | V: a un rôle protecteur |   contient des acides teichoïques de paroi |   joue un rôle dans la synthèse énergétique de ces bactéries à travers la membrane externe |   contient principalement des stérols | V:  contient des protéines ayant le rôle de récepteur pour les bactériophages
QCM || Question 232 :  En relation avec la mobilité des bactéries, nous pouvons dire: || V:  la mobilité est utile pour identifier les bactéries |   est fourni par pilis communes | V:  la mobilité du tréponème est assurée par des fibres axiales |   le nombre de flagelles est constant dans toutes les bactéries |   est fourni par les cils bactériens | V: est fourni par flagelles | V:  est un avantage sélectif qui permet sa adaptation dans diverses conditions environnementales | V:  la mobilité est un facteur de virulence pour certaines espèces bactériennes |   toutes les bactéries sont mobiles |   le nombre et la disposition des flagelles ne sont pas des caractères taxonomiques
QCM || Question 233 :  Sur pilis communes nous pouvons dire: ||   sont présents dans toutes les bactéries |   constitués de protéine flagellaire | V: ne sont présents que dans certaines bactéries |   sont communs pour les bactéries et les champignons | V:  sont des structures fibrillaires courtes | V:  ne sont pas impliqués dans la mobilité des bactéries |   jouer un rôle dans la mobilité des bactéries | V:  sont des facteurs de colonisation | V:  avoir un rôle antifagocitaire | V:  jouer un rôle dans la fixation de bactéries aux récepteurs cellulaires
QCM || Question 234 :  Sur pilis sexuels nous pouvons dire: || V:  jouer un rôle dans lʼinfection des bactéries par un certain transducteur | V:  sont des structures impliquées dans le transfert génétique aux bactéries |   les bactéries avec des pilis sexuels peuvent se multiplier sexuellement | V:  sont des structures présentes uniquement dans certaines bactéries | V:  les pilis sexuel est un plasmide codé |  est une structure chromosomique codée | V:  sont des structures impliquées dans la conjugaison des bactéries |   Les bactéries dʼempilement sexuel sont appelées bactéries donneurs |   sont des structures impliquées dans la division des bactéries |   sont des structures impliquées dans la transduction en bactéries
QCM || Question 235 :  La spore bactérienne : ||   ne peut germer que dans lʼanaérobiose |   la sporulation chez les bactéries est obligatoire pour la survie | V:  est une forme métaboliquement inactive |   contient beaucoup dʼeau | V:  contient beaucoup de dipicolinate de calcium dans la paroi sporale |  est moins résistant que la croissance fongique | V:  est la forme de vie la plus résistante des bactéries | V:  peut germiner dans des conditions environnementales favorables | V:  contient une enveloppe appelée cortex sporal |   est impliqué dans la division des bactéries
QCM || Question 236 :  Glycocalix bactérien : ||   est constamment présent dans les bactéries | V:  est une structure laxe appelée slime |   joue un rôle dans le métabolisme des glucides chez les bactéries |  peut être facilement observé dans la microscope optique : | V:  joue un rôle dans la fixation des bactéries aux surfaces inertes et aux cellules hôtes |  joue un rôle dans la synthèse de la capsule bactérienne | V:  peut être pénétré par des substances colorées |   est une structure protéique dans la plupart des bactéries | V:  est une structure facultative de bactéries | V:  est visible au microscope électronique
QCM || Question 237 :  A propos de la coloration Gram, nous pouvons dire: || V:  est une coloration différentielle |   les cellules eucaryotes sont colorées en violet | V:  permet lʼidentification des bactéries |   lʼaffinité des bactéries dans cette coloration est conditionnée par le type de cytoplasme bactérien | V:  les bactéries a Gram positif sont colorées en violet |  est une coloration simple |   permet lʼidentification de lʼespèce bactérienne |   la capsule bactérienne est colorée en rouge | V:  les bactéries a Gram négatif sont colorées en rouge | V:                lʼaffinité des bactéries dans cette coloration est conditionnée par la structure de leur paroi
QCM || Question 238 :  A propos de la coloration Ziehl Neelsen, nous pouvons dire: || V:  implique une étape de coloration prolongée avec un colorant rouge tres concentré |   les cellules eucaryotes sont colorées en rouge |   les bactéries a paroi a Gram négatif sont colorées en rouge |  est une coloration usuelle | V:  implique une décoloration agressive avec un mélange dʼalcool et dʼacide chlorhydrique | V:  est une coloration spéciale pour les mycobactéries |   les bactéries acido-alcoolo résistants sont colorées en bleu | V:  les bactéries a paroi a Gram négatif sont colorées en bleu | V:  est une coloration différentielle |  implique une coloration prolongée avec un colorant bleu
QCM || Question 239 :  Sur la paroi des bactéries acido-alcoolo résistants, nous pouvons dire: ||   il est coloré en rouge en couleur Gram | V:  détermine la capacité de ces bactéries a résister a la phagocytose | V:  conditionne la résistance de ces bactéries aux agents chimiques de décontamination |   ces bactéries nʼont pas de paroi | V:  est plus épaisse et moins perméable que celle des bactéries a Gram positif | conditionne leur affinité tinctoriale dans la coloration de Gram | V:  conditionne la croissance très lente de ces bactéries | V:  est imperméable a lʼeau pour les colorants Gram |   ne nécessite pas de coloration |   se multiplient plus rapidement en raison de leur résistance aux antibiotiques
QCM || Question 240 :  Structures bactériennes facultatives sont: ||   paroi bactérienne |   chromosome bactérien | V: plasmides |  ribosomes bactériens |   membrane cytoplasmique |   cytoplasme | V: capsule | V: glycocalix | V:    la spore | V:  pilis communes
QCM || Question 241 :  A propos de la capsule bactérienne, nous pouvons dire: ||  est une structure antigénique qui peut être utile pour identifier les bactéries | V:  les anticorps anticapsulaires sont utiles a des fins thérapeutiques |   est responsable de lʼapparition de la beta-hémolyse | V:  peut être visualisé au microscope optique |   fournit une protection contre les macrophages |  est une structure présente uniquement a certains virus |   il nʼest pas visible au microscope optique car il nʼest pas coloré | V:  est une structure antigénique qui peut être utilisée comme antigène vaccinal | V:  est un facteur important de virulence chez les bactéries | V:  a un rôle antiphagocitaire
QCM || Question 242 :  A propos des flagelles, nous pouvons dire: || V:  sont des structures présentes dans certaines bactéries |   leur nombre est constant chez toutes les espèces bactériennes |   se composent dʼunités protéiques motiline | V:  sont des structures responsables de la mobilité des bactéries |   sont responsables de la mobilité des bactériophages | V: sont des structures antigéniques ayant un rôle dans lʼidentification des bactéries |   sont plus petits que les cils bactériens |   le nombre ou la position des flagelles ne sont pas des caractères utiles pour lʼidentification | V:  sont formés a partir de la molécule de protéine flagellaire | V:  les bactéries immobiles nʼont pas de flagelles
QCM || Question 243 :  A propos de processus de sporulation, nous pouvons dire: ||   toutes les bactéries peuvent se développer dans des conditions environnementales défavorables | V:  les champignons peuvent sporuler |   la germination nʼest possible que pour les spores bactériennes | V:  représente la formation de spores bactériennes dans des conditions environnementales défavorables | V:  seulement quelques genres bactériens peuvent sporuler |  certaines bactéries peuvent se développer dans des conditions environnementales favorables | V:  le processus de sporulation des champignons joue un rôle dans la multiplication, la survie et leur propagation |   la sporulation assure la survie et la multiplication des bactéries | V:  le processus de sporulation assure la survie des bactéries |   les spores fongiques sont plus résistantes que les spores bactériennes
QCM || Question 244 :  A propos des inclusions bactériennes, nous pouvons dire: || V:  sont utiles pour identifier les espèces bactériennes |   Corynebacterium diphtheriae peut contenir des inclusions qui détermine groupe diphtérierique | V:  représente les réserves nutritionnelles | V:  leur synthèse dépend de la qualité du milieu de culture |   jouer un rôle dans la réplication des bactéries |  sont des réserves dʼADN pour les bactéries |   ne se trouvent que dans les bactéries pathogenes dʼun genre |   leur synthese nʼest réalisée que ,,in vivo,, | V:  Corynebacterium diphtheriae peut contenir des inclusions de volutine | V:  sont présents dans le cytoplasme de certaines bactéries
QCM || Question 245 :  A propos des mycoplasmes, nous pouvons dire: ||   sont des bactéries visibles au microscope optique | V:  sont résistants aux antibiotiques qui inhibent la synthese de la paroi bactérienne | V:  sont de tres petites bactéries |  cultiver sur des milieux artificiels |   ont un mur négatif pour le jeu |  dépendent de lʼénergie dʼune cellule vivante | V:  ont leur propre capacité de synthese protéique et énergétique | V:  ne cultivent pas sur des milieux acellulaires | V:  sont des bactéries sans de paroi cellulaire |   sont des bactéries commensales des voies respiratoires
QCM || Question 246 :  Mycoplasma penumoniae: || V:  peut causer une pneumonie interstitielle | V:  peut causer des infections des voies respiratoires supérieures | V:  est une bactérie pathogène primaire | V:  le diagnostic étiologique est fait par PCR |   provoquent habituellement des infections mycose buccale |  sont des bactéries acido-alcoolo résistants |   le traitement des infections déterminées se fait avec de la pénicilline | V:  la culture de cette espèce nʼest pas possible en routine |   causer une pneumonie lobaire aiguë |   est une bactérie conditionnellement pathogene
QCM || Question 247 :  Mycoplasme génital: ||   le traitement des infections par cette espece se fait avec de la pénicilline | V:  Le traitement des infections se fait avec des macrolides ou des tétracyclines | V:  provoque des infections génitales chez les hommes et les femmes |   le diagnostic implique la culture, lʼisolement et lʼidentification de lʼespece |   est une bactérie a Gram négatif |  est une bactérie acido-alcoolo résistante |   est une bactérie commensale de lʼappareil génital | V:  la détection de cet agent pathogene est faite par PCR | V:  est la plus petite espece bactérienne | V:  est une bactérie pathogene primaire
QCM || Question 248 :  A propos de la Chlamydia, nous pouvons dire: || V:  sont de petites bactéries intracellulaires | Peut se développer sur des milieux artificiels spéciaux | V:  ont une paroi cellulaire |  ont leurs propres capacités de synthese |  nʼont pas la capacité de leur propre synthese protéique | V:  sont des parasites intracellulaires obligatoires | V:  dépendent de lʼénergie dʼune cellule vivante | V: sont éventuellement des bactéries intracellulaires | nʼont pas de paroi cellulaire |  sont naturellement sensibles aux pénicillines
QCM || Question 249 :  Chlamydia trachomatis: || V:  a un cycle réplicatif particulier | V:  le diagnostic des infections peut être direct ou indirect |   les pénicillines sont les antibiotiques de choix | V:  le traitement des infections se fait avec des macrolides ou des tétracyclines |   cultiver lentement sur des milieux de culture enrichis | V: ne se multiplie quʼa lʼintérieur dʼune cellule eucaryote |   est une bactérie commensale |   le diagnostic direct nʼest pas possible | V:  est le principal agent étiologique des infections sexuellement transmissibles |   est le principal agent étiologique des pneumonies interstitielles
QCM || Question 250 :  Chlamydophila pneumoniae : ||   a une résistance accrue aux agents de décontamination |   le diagnostic de lʼinfection peut être fait au nom par des méthodes indirectes | V:  les formes infectieuses sont des corps élémentaires | V:  la forme intracellulaire est appelée corps réticulé |   causer une pneumonie lobaire aiguë | V: peut causer une pneumonie interstitielle |   lʼinfection est traitée avec des céphalosporines | V:  est une espèce pathogène |   cultiver uniquement sur des milieux de culture enrichis en sang | V:  causer des infections des voies respiratoires supérieures
QCM || Question 251 :  Rickettsies: ||   sont sensible à la pénicilline |  avoir un cycle réplicatif qui implique la formation de corps réticulés | V:  dépendent de lʼénergie offerte par la cellule hôte |   avoir un tropisme uniquement pour les cellules du tractus respiratoire |  sont des bactéries commensales | V: ont une très faible résistance aux facteurs environnementaux externes |   ont leurs propres capacités de synthèse | V:  sont des bactéries intracellulaires obligatoires | V:  sont transmis indirectement | V:  sont adaptés a la transmission vectorielle
QCM || Question 252 :  Coxiella burnetii: || V:  causer une pneumonie interstitielle |   se multiplie uniquement sur des milieux de culture enrichis |  est un agent pathogène sexuellement transmissible | est un rickettsie |   est un bacille a Gram positif | V: a une porte dʼentrée respiratoire | V: peut former des endospores |  est une entérobactérie | V:  est lʼagent étiologique de la fièvre Q |  a une porte dʼentrée digestive
QCM || Question 253 :  Mycobactéries: || V:  sont des bactéries a acido-alcoolo résistantes | V:  sont des bactéries a croissance lente |   sont des bactéries strictement anaérobies |   sont des bactéries avec une paroi de type Gram-positive | V:  sont éventuellement des bactéries intracellulaires | V: sont des bactéries résistantes aux agents de décontamination |   cultiver rapidement sur des milieux de culture spéciaux |   causent une pneumonie atypique primaire | V:  causer des infections chroniques |   sont naturellement sensibles aux pénicillines
QCM || Question 254 :  Spirochètes: ||   sont naturellement résistants à la pénicilline | V:  sont des bactéries très mobiles | V:  sont transmis par des vecteurs | V:  peut causer des infections transmissibles sexuellement | V:  sont des bactéries spiralées |  sont des bactéries commensales |   sont des agents étiologiques de la tuberculose | V:  provoque des infections systémiques |  sont des bactéries très fragiles dans lʼenvironnement extérieur |   sont des virus nus
QCM || Question 255 :  A propos des champignons, nous pouvons dire: || V:  sont des microorganismes eucaryotes |   les spores fongiques sont plus résistantes que les spores bactériennes |   peuvent se multiplier seulement asexué |   sont des microorganismes procaryotes | V:  peut se multiplier sexuellement | V: sont des microorganismes saprophytes du milieu extérieur | V:  provoque des infections appelées mycoses | V:  ont une paroi cellulaire qui contient des polysaccharides |   causer des infections appelées actinomicetomes |   sont des bactéries particulières
QCM || Question 256 :  Lévriers: ||   ne peut pas causer dʼinfections chez lʼhomme |   sont naturellement sensibles aux pénicillines | V:  peut former des pseudohyphes | V:  sont des champignons unicellulaires | V:  se multiplient par bourgeonnement | V:  Candida albicans est une levure |   sont aussi appelées formes L |   causer des infections appelées lévurioses | V:    la cellule fille est appelée blastococonidies |    sont des formes de résistance des champignons
QCM || Question 257 : Champignons filamenteux : || V:  sont des microorganismes eucaryotes |   determine des infections appelées filarioses |   peut se développer sous forme de pseudohife | V:  sont aussi appelés moisissures | V:  les hyphes peuvent être définis ou invisibles | V: se développent sous forme de filaments appelés hyphes | V:  par croissance et multiplication forme le mycélium |   sont des champignons dimorphes |   est traité avec des antibiotiques à large spectre |   sont des microorganismes strictement anaérobies
QCM || Question 258 :  Champignons dimorphes : || V:  se développent sous forme filamenteuse à température ambiante |   sont des champignons pathogènes | V:  peut causer des infections systémiques graves |   sont des microorganismes commensales | V:  Histoplasma capsulatum est un champignon dimorphe | V: ont une forme différente selon lʼenvironnement culturel sur lequel ils poussent |   lʼantifongique de choix est la tétracycline |   sont des micro-organismes procaryotes | V:  se développent sous forme de levure a 37 °C |   Candida albicans est un champignon dimorphe
QCM || Question 259 :  A propos des infections fongiques, nous pouvons dire: || V:  peut survenir à la suite dʼun traitement aux antibiotiques |   se produisent uniquement à la suite dʼun traumatisme |   peut être traité avec des dérivés de propranolol | V:  peut être déterminé par des levures commensales | V:  sont aussi appelées mycoses |  sont appelées fongicoses |   sont déterminés uniquement par des champignons hautement pathogènes | V:  sont généralement associés à des déficits de défense anti-infectieuse |   peut être traité avec des antibiotiques à large spectre | V:  nécessite généralement des conditions favorables
QCM || Question 260 :  Génome bactérien: ||   comprend un ou deux chromosomes |   les bactéries n'ont que deux chromosomes | V: est situé dans le nucléoplasme bactérien | V: est le support de lʼhérédité chez les bactéries |   est situé dans le noyau de la bactérie | V:  les bactéries ont un seul chromosome | V: se compose de chromosomes et éventuellement de plasmides |  lʼinformation génétique dans les bactéries est codée sous forme dʼARN double brin |     comprend nécessairement un ou plusieurs plasmides | V:  lʼinformation génétique dans les bactéries est codée sous forme dʼADN
QCM || Question 261 :  Le transfert génétique aux bactéries peut être réalisé par: ||   hémolyse |   consanguinité | transfert passif |   commensalisme | V:  transposons | V:  conjugaison | V: séquences d'insertion | V:  transformation | 	mutualisme | V:   transduction
QCM || Question 262 :   Les plasmides sont: || V:  éléments génétiques mobiles | V:  encoder les caractères qui confèrent à la bactérie des avantages sélectifs |   peut être transféré dʼune bactérie a une autre par exocytose | V:  molécules dʼADN circulaires double brin |   ne peut pas manquer dans le cytoplasme de la bactérie |  petites molécules dʼADN double brin, linéaires |   structures essentielles à la survie de la bactérie |   éléments présents uniquement dans les bactéries à Gram négatif | V:  fragments dʼADN extra chromosomique | V:  il se réplique indépendamment du chromosome
QCM || Question 263 :  La conjugaison représente : || V:  la bactérie donneuse est propriétaire dʼun poil sexuel | V:  transfert génétique dʼune bactérie donneuse F+ a une bactérie réceptrice F |   la bactérie réceptrice possède un plasmide conjugatif | V:  plasmide conjugatif code le pilis sexuels |  transfert des gènes des phages F+ aux bactéries réceptrices |  la bactérie donneuse est une bactérie résistante aux antibiotiques |  le plasmide conjugatif ne peut pas être intégré dans le chromosome | V: transfert génétique obtenu par les pilis sexuels |  transfert génétique réalisé par pilis communes | V: suppose la présence dʼun plasmide conjugatif F
QCM || Question 264 :  Mutations: || V:  contribue à la sélection naturelle et a lʼévolution de lʼespèce | V:  le taux de mutations spontanées est très faible |   sont déterminés par la croissance du noyau bactérien pendant la réplication | V:  sont des événements rares, spontanés et imprévisibles |   les substances mutagènes diminuent la fréquence des mutations dans une population bactérienne | V: des erreurs qui se produisent-elles lors de la réplication de lʼADN | V:  le gène mutant est appelé allèle |   les mutants auxotrophes sont moins difficiles que la population parentale |   sont des événements fréquents qui se produisent pendant la division de la bactérie |   la fréquence des mutations dans une population bactérienne est constante
QCM || Question 265 :  A propos du processus de nutrition chez les bactéries : || V:  les enzymes bactériennes peuvent être des facteurs de virulence importants |   chez les bactéries a Gram positif, la digestion est plus facile car elles nʼont pas de membrane externe | V:  les enzymes digestives sont localisées dans la membrane cytoplasmique |   la digestion est effectuée au niveau des lysosomes bactériens | V:  la digestion dans les bactéries est réalisée extracellulaire |  les enzymes digestives sont libérées extracellulairement et participent à la synthèse des protéines |  les nutriments sont générés intracellulairement et entrent directement dans les processus de biosynthèse | V:  les nutriments résultant de la digestion peuvent traverser la membrane cytoplasmique bactérien |  la digestion dans les bactéries est effectuée au niveau de la chaîne de transporteurs dans la membrane cellulaire | V:  les bactéries a Gram négatif retiennent les enzymes digestives dans lʼespace périplasmique
QCM || Question 266 :  Facteurs de croissance des bactéries : || V:  les bactéries pathogènes peuvent dépendre de facteurs de croissance | V:  leurs connaissances sont utiles pour la réalisation dʼenvironnements culturels |   les facteurs de croissance sont des enzymes bactériennes impliquées dans la croissance et la multiplication des bactéries |  les bactéries peuvent produire un ou plusieurs facteurs de croissance | V:  sont des métabolites essentiels qui doivent être présents dans lʼenvironnement |  les milieux de culture ne doivent pas contenir de facteurs de croissance | V:  sont des métabolites essentiels que la bactérie ne peut pas produire |   les bactéries sans prétention sur le plan nutritionnel ne dépendent que dʼun seul facteur |  sont des conditions environnementales qui provoquent la croissance des bactéries | V:  sont représentés par des bases puriniques ou pyrimidines, des acides aminés essentiels, des vitamines
QCM || Question 267 :  Respiration des bactéries: || V:  les bactéries strictement anaérobies meurent en présence dʼoxygène |   respiration de bactéries se fait au niveau des ribosomes | V:  les bactéries strictement aérobies utilisent lʼoxygène moléculaire comme accepteur dʼhydrogène |   les bactéries anaérobies se développent quʼen présence de CO2 |  les bactéries microaérophiles ne tolèrent pas la présence dʼoxygène atmosphérique | les bactéries carboxyphiles se développent en présence dʼoxygène |   les mitochondries des bactéries sont plus petites que celles des cellules eucaryotes |  les bactéries anaérobies nʼont pas besoin dʼoxygène pour croître et se multiplier | V:  implique la chaîne porteuse dʼélectrons au niveau de la membrane cytoplasmique | V:  les bactéries anaérobies utilisent des composés organiques comme accepteur dʼhydrogène
