QCM || Question 1 :   La sémiologie médicale est la partie de la médecine qui étudie : ||   La biologie cellulaire |   Les traitements | V:  Les symptômes | V:  La façon de les relever par des examens complémentaires |   Les maladies |   Lʼanatomie humaine | V:  Les signes | V:  La façon de relever les signes et les symptômes par examen clinique, | V:  La façon de relever les signes et les symptômes par interrogatoire |   La physiopathologie des maladies
QCM || Question 174 :     Lʼauscultation du coeur: || V:  C'est une méthode d'examen clinique | V:  Elle constate normalement un deuxième bruit donné par la fermeture des valves aortique et pulmonaire |   C'est une méthode d'examen paraclinique |   Normalement on constate 3 bruits cardiaques | V:  Fréquemment, lʼauscultation du coeur se fait avec le patient en décubitus dorsal | V:  Elle constate normalement les bruits cardiaques rythmiques |   Elle révèle normalement un premier son donné par l'ouverture des valves mitrale et tricuspide | V:  Elle constate normalement, un premier bruit donné par la fermeture des valves mitrale et tricuspide |   On constate normalement des bruits cardiaques arythmiques |   Elle révèle normalement un deuxième bruit donné par l'ouverture des valves aortique et pulmonaire
QCM || Question 175 :     La détermination correcte de la pression artérielle: || V:  Elle est effectué à la première consultation du patient aux deux bras |   Elle est exprimée en battement/min |   Elle est exprimée en cm | V:  Elle est réalisée en position assise | V:  Elle est exprimée en mmHg |   Elle peut révéler, normalement, des différences de plus de 20 mmHg entre le bras droit et le bras gauche |   La valeur du clinostatisme est suffisante | V:  On peut constater normalement, des différences allant jusqu'à 15 mmHg, entre le bras droit et le bras gauche | V:  Elle peut être réalisée en position allongée |   Elle est réalisée exclusivement sur le bras gauche du patient
QCM || Question 176 : 	La détermination de la pression artérielle en clinostatisme (position allongé) mais également dans l'orthostatisme est recommandée en particulier chez les: ||   Patients atteints d'ulcère duodénal | V:  Lorsqu'une hypotension orthostatique est recherchée. |   Patients avec lithiase rénale |   Patients atteints de reflux gastro-œsophagien chronique | V:  A la premier consultation | V:  Patients de plus de 65 ans |   Les jeunes | V:  Patients diabétiques | V:  Personnes âgées |   Patients avec lithiase vésiculeuse
QCM || Question 177 :     Les foyers d'auscultation cardiaque sont: || V:  Erb |   Jugulaire | V:  Mitral |   Fémoral |   brachial | V:  Pulmonaire |   carotidien |   Radial | V:  Tricuspidien | V:  Aortique
QCM || Question 178 :     Le foyer mitral est: ||   Détecté par la percussion thoracique |   A la base de l'appendice xiphoïde | V:  Détecté par l'ascultation du coeur | V:  À l'endroit où le choc de lʼapex se fait sentir |   Dans le 3ème espace intercostal gauche | V:  A la pointe du coeur |   Dans le 2ème espace intercostal parasternal gauche |   Dans le 2ème espace intercostal parasternal droit | V:  Sur la ligne médio-claviculaire | V:  Dans le 5ème espace intercostal gauchee
QCM || Question 179 :     La palpation des artères du membre inférieur identifie, normalement: ||   Pulsations asymétriques droite-gauche, d'amplitude différente |   Artère radiale | V:  Pulsations droite-gauche symétriques, de même amplitude |   Artère cubitale | V:  Artère tibiale postérieure |   Artère carotide | V:  Artère poplitée | V:  Artère fémorale | V:  Artère pédieuse |   Artère brachiale
QCM || Question 180 :     Pour mesurer la tension artérielle : ||   Seul le stéthoscope est utilisé | V:  On utilise un tensiomètre | V:  Le patient doit être dans un environnement calme |   Le patient est complètement déshabillé |   Il est recommandé de la déterminer dans les premières 5 minutes après un effort physique | V:  Le bras du patient doit être nu |   La pression systolique est enregistrée lorsque les bruits cardiaques disparaissent | V:  Il est souhaitable de la mesurer à distance de 30 min minutes après un effort physique | V:  Il est recommandé de la mesurer 30 minutes après avoir consommé du café ou du tabac |   Un oxymètre de pouls est utilisé
QCM || Question 181 :     Cyanose froide: || V:  Il apparaît dans des maladies ou des conditions qui provoquent une vasoconstriction périphérique et une stase sanguine |   Elle est due à la diminution de l'hémoglobine réduite |   Elle est mieux observée sur le visage, le lobe de l'oreille, les ongles |   Elle s'observe le plus facilement au niveau des téguments de l'abdomen |   Les artères périphériques (membres) sont dilatées |   Les organes vitaux (cœur et cerveau) sont mal irrigués, du fait de la redistribution du volume sanguin et du "sacrifice" de territoires vitaux | V:  Elle est due à l'augmentation de l'hémoglobine réduite dans le sang | V:  Les organes vitaux (cerveau et cœur) sont bien irrigués, dans les conditions de la redistribution du volume sanguin et du "sacrifice" des territoires périphériques | V:  Elle est dû à une mauvaise circulation dans les extrémités ou à une très forte extraction d'oxygène dans les tissus | V:  Elle est mieux vue aux niveaux des extrémités
QCM || Question 182 :     L'œdème cardiaque est: || V:  Un signe clinique de l'insuffisance cardiaque globale | V:  Un signe clinique en cardiologie |   Un syndrome cardiaque |   Une maladie cardiaque |   Un symptôme | V:  Il est situé dans le tissu cellulaire sous-cutané |   Un symptôme cardiaque |   Un symptôme d'insuffisance cardiaque | V:  Un signe clinique de l'insuffisance cardiaque droite | V:  Il apparaît en raison de la rétention hydrosaline
QCM || Question 183 :     L'œdème cardiaque est: || V:  Blanc |   Plus accentué au réveil |   Initialement situé à l'extrémité céphalique |   Unilatéral | V:  Plus accentué en fin de journée |   Cyanotique | V:  Prend le godet | V:  Bilatéral | V:  Situé aux niveaux des membres inférieurs |   Situé aux niveaux des paupières
QCM || Question 184 :     Le signe du godet est: || V:  Une manœuvre dans laquelle on applique une pression avec le pouce sur la face antérieure de la jambe |   Caractéristique de l'ascite | V:  Spécifique à l'œdème |   Spécifique à l'hépatomégalie | V:  Un signe clinique attestant la présence d'œdème |   Spécifique à l'œdème pulmonaire |   Caractéristique de l'ulcère gastrique | V:  Il consiste en l'apparition d'une dépression au niveau de l'œdème, suite à la pression avec le pouce | V:  Une manœuvre qui s'effectue avec le pouce |   Spécifique à l'insuffisance respiratoire
QCM || Question 185 :     Les râles crépitants dus à une insuffisance cardiaque sont: ||   Râles bronchiolaires |   Râles bronchiques |   Identique au frottement pleural | V:  Des râles alvéolaires | V:  Ils sont dus à la pénétration du liquide en excès dans l'espace interstitiel pulmonaire et dans les alvéoles pulmonaires | V:  Ils sont identifiés lors de l'auscultation des poumons |   Ils sont entendu au niveau d'un seul poumon |   Signe clinique d'insuffisance cardiaque droite | V:  Ils sont entendu au niveau des deux poumons | V:  Un signe clinique d'insuffisance cardiaque gauche
QCM || Question 186 :     La turgescence des jugulaires représente: ||   Un syndrome cardiaque |   Une maladie cardiaque | V:  Un signe clinique identifié par l'examen du système cardiovasculaire | V:  Un signe clinique de l'insuffisance cardiaque droite |   Un signe clinique identifié par palpation | V:  Une dilatation des veines jugulaires | V:  Un signe clinique | V:  Un signe clinique confirmé par inspection |   Un signe clinique identifié par percution |   Un symptôme cardiaque
QCM || Question 187 :     Fibrillation auriculaire: || V:  Il y a un déficit de pouls présent | V:  L'auscultation du cœur révèle des bruits cardiaques arythmiques | V:  C'est un trouble du rythme |   L'électrocardiogramme montre un rythme régulier avec des complexes QRS normaux |   L'auscultation du cœur révèle des sons cardiaques rythmiques |   C'est un trouble de conduction | V:  La présence d'ondes f sur l'ECG au lieu des ondes P |   Une réanimation cardiaque est nécessaire |   Le pouls est régulier et ferme | V:  L'électrocardiogramme montre des complexes QRS inégalement espacés
QCM || Question 188 :     Les signes suivants se retrouvent dans l'insuffisance cardiaque droite: ||   Etoile vasculaire |   Exophtalmie | V:  Œdème des membres inférieurs |   Jaunisse | V:  Reflux hépatojugulaire |   Thorax emphysémateux |   Téguments pâles | V:  Turgescence des jugulaires | V:  Hépatomégalie | V:  Signe de Harzer
QCM || Question 189 :     Les propositions suivantes concernant le rétrécissement aortique sont vraies : ||   Cʼest un reflux diastolique de sang de lʼaorte vers le ventricule par la perte de lʼétanchéité des sigmoïdes aortiques. |   Se manifeste par souffle dyastolique dans le 5ème espace intercostal gauche sur la ligne medio claviculaire | V:  Il se manifeste par souffle systolique dans le 2ème espace intercostal droite | V:  Cʼest la réduction de la surface aortique réalisant un obstacle à lʼéjection du VG |   Se manifeste par souffle dyastolique dans le 5ème espace intercostal gauche parasternal |   Se manifeste par souffle systolique dans le 5ème espace intercostal gauche parasternal | V:  Le souffle irradie vers le haut, au niveau du cou, | V:  C'est la même chose avec la sténose aortique |   Se manifeste par souffle systolique dans le 5ème espace intercostal gauche sur la ligne medio claviculaire | V:  Il se manifeste par souffle systolique dans le foyer Erb
QCM || Question 190 :     Dans l'œdème pulmonaire aigu on trouve les éléments suivants: || V:  Râles crépitants |   Hépatomégalie |   Turgescence des jugulaires |   Signe de Harzer | V:  Expectoration mousseuse | V:  Cyanose |   Reflux hépatojugulaire | V:  Orthopnée | V:  Dyspnée paroxystique |   Œdème des membres inférieurs
QCM || Question 191 :     La cardiomégalie est diagnostiquée par : || V:  Par lʼaugmentation de la matité cardiaque | V:  Par échocardiographie |   Par lʼauscultation du foyer tricuspidien |   Par lʼauscultation du foyer mitral |   Par la percussion de lʼapex |   Par lʼauscultation du foyer aortique | V:  En palpant le choc de l'apex en dehors de la ligne medioclaviculaire gauche |   Par la palpation du chœur au niveau de lʼhypocondre gauche | V:  Radiographie thoracique | V:  En identifiant le choc d'apex dans l'espace intercostal gauche VI ou VII
QCM || Question 192 :     L'auscultation pathologique du cœur identifie : || V:  Frottement péricardique |   Frottement pleural |   Râles sifflants | V:  Galop |   Bruits cardiaques rythmés | V:  Rythme en 3 temps |   Bruit 1 suivi du bruit 2 |   Rails crépitants | V:  Souffles systoliques | V:  Souffles diastoliques
QCM || Question 193 :     Les valeurs suivantes de la tension artérielle peuvent être normales: ||   200/120 mmHg |   145/105mmHg | V:  105/65mmHg | V:  120/70mmHg |   150/100 mmHg |   170/110 mmHg | V:  125/65mmHg | V:  125/75mmHg | V:  110/60 mmHg |   180/105mmHg
QCM || Question 194 :     Les valeurs suivantes de la tension artérielle peuvent êtrenormale-haute : ||   170/100 mmHg | V:  137/88mmHg |   165/100 mmHg | V:  135/85 mmHg | V:  139/89 mmHg |   185/105 mmHg |   160/106mmHg | V:  134/86mmHg |   150/105mmHg | V:  136/87 mmHg
QCM || Question 195 :     Les valeurs de HTA degrée 1 peuvent etre: || V:  158/98mmHg | V:  154/98mmHg |   200/110mmHg |   175/110mmHg |   180/110mmHg | V:  155/95mmHg | V:  145/95mmHg |   170/105mmHg | V:  150/95 mmHg |   190/110 mmHg
QCM || Question 196 :     Les valeurs HTA degré 2 peuvent être: ||   200/120mmHg | V:  165/105mmHg |   148/95mmHg | V:  175/105mmHg | V:  168/107mmHg |   155/100mmHg | V:  178/107mmHg |   150/100mmHg | V:  177/108 mmHg |   190/115 mmHg
QCM || Question 197 :     Les valeurs HTA degré 3 peuvent être: || V:  210/120mmHg |   150/95mmHg |   170/106mmHg | V:  200/115mmHg |   175/108mmHg |   165/105mmHg | V:  185/115mmHg |   155/100mmHg | V:  235/125mmHg | V:  190/120 mmHg
QCM || Question 198 :     Les complications de lʼHTA sont: ||   Insuffisance hépatique |   Lithiase vésiculeuse | V:  Rétinopathie hypertensive | V:  Accident vasculaire cérébral |   Anémie |   Calculs rénaux | V:  Insuffisance cardiaque gauche |   L'ulcère duodénal | V:  Maladies coronariennes | V:  L'insuffisance rénale chronique
QCM || Question 199 :     Les symptômes de HTA peuvent être: || V:  Bourdonnements dʼoreille | V:  Vertige |   Méléna |   Hémoptysie | V:  Céphalée |   Dysphagie | V:  Phosphènes | V:  Acouphènes |   Hématémèse |   Brûlures d'estomac
QCM || Question 200 :     Concernant le retrecissement mitral les affirmations suivantes sont valables: || V:  Il représente la diminution de la surface mitrale |   Il se manifeste par augmentation de la tension artérielle | V:  Il se manifeste par dyspnée | V:  La diminution de la surface mitrale détermine hypertrophie oreillette gauche et stase pulmonaire |   Lʼauscultation du cœur souffle systolic dans le foyer mitral |   Lʼauscultation du cœur constate claquement d'ouverture dans le foyer aortique |   Il est secondaire à une insuffisance dʼétanchéité de lʼappareil valvulaire mitrale | V:  Lʼauscultation du cœur constate claquement d'ouverture et souffle diastolique dans le foyer mitral |   C'est différent de la sténose mitrale | V:  La diminution de la surface mitrale détermine un obstacle ou remplissage ventriculaire gauche pendant la diastole
QCM || Question 201 :     Les symptômes d'une maladie cardiaque peuvent être: ||   Brulures d'estomac | V:  Dyspnée paroxystique |   Pollakiurie | V:  Douleur retrosternale | V:  Palpitations | V:  Syncope |   Hématurie |   Vomissements biliaires |   Diarrhée | V:  Dyspnée dʼeffort
QCM || Question 202 :     Les signes cliniques dans la sténose mitrale peuvent être: || V:  Souffle diastolique dans le foyer mitral | V:  Claquement d'ouverture mitrale |   Œdème rénal |   Râles sifflants | V:  Auscultation pathologique à l'apex pendant la diastole |   Œdème de Quincke | V:  Souffle diastolique dans le 5ème espace intercostal gauche sur la ligne medioclaviculaire | V:  Facies mitral |   Frottement pleural |   Hippocratisme numérique
QCM || Question 203 :     Les signes cliniques de l'insuffisance aortique sévère peuvent être: ||   Claquement d'ouverture mitrale |   Bruit 2 accentué au sommet | V:  Souffle diastolique dans le 2ème espace intercostal droit parasternal |   Frottement péricardique |   Bruit 1 accentué au sommet | V:  Souffle diastolique au foyer aortique | V:  Souffle diastolique dans le foyer dʼErb | V:  Hyperpulsatilité des artères | V:  Élargissement de la pression pression artérielle différentielle (augmentation de la pression artérielle systolique et diminution de la tension artérielle diastolique) |   Souffle diastolique dans le 2ème espace intercostal gauche parasternal
QCM || Question 204 :     Les examens complémentaires pour dépister le retentissement viscéral de HTA sont: || V:  Prise de sang (urée et créatinine) |   Prise de sang pour les transaminases |   Coronarographie en urgence |   Enzymes myocardiques |   Scintigraphie myocardique | V:  Échocardiographie | V:  Radiographie thoracique |   Echographie hépatique | V:  Fond dʼœil | V:  Electrocardiogramme
QCM || Question 205 :     La douleur dans l'infarctus du myocarde a les caractéristiques suivantes: ||   Elle s'améliore dans une minute après la nitroglycérine sublinguale |   Durée jusqu'à 20 minutes | V:  Localisation thoracique antérieure | V:  Elle ne cède pas à la nitroglycérine sublinguale |   Elle disparaît en 30 secondes après la nitroglycérine sublinguale |   Elle s'accompagne d'hématurie | V:  Elle ne s'améliore pas avec la nitroglycérine sublinguale | V:  Douleur prolongée |   Localisation dans le mésogastre | V:  Durée supérieure à 20 minutes
QCM || Question 206 :     Les symptômes dʼaccompagnement de la douleur de l'infarctus du myocarde peuvent être: ||   La rectorragie | V:  Les sueurs |   La polyphagie |   La dysurie |   Lʼhémoptysie | V:  Faiblesse importante | V:  La dyspnée | V:  Lʼanxiété, angoisse |   La pollakiurie | V:  La nausée
QCM || Question 207 :     Les affirmations suivantes concernant l'échocardiographie sont vraies : ||   L'échocardiographie ne peut pas faire la différence entre sténose et insuffisance valvulaire | V:  Ella a un rôle important dans l'exploration des valves cardiaques |   L'échocardiographie n'a aucun rôle pour le diagnostic dʼune cardiomégalie | V:  C'est une méthode paraclinique |   C'est une méthode clinique | V:  Elle peut mettre en évidence une hypertrophie ventriculaire | V:  Ella a un rôle important dans lʼévaluation de lʼépaisseur et de la cinétique des parois ventriculaires |   L'échocardiographie n'a aucune implication diagnostique |   Elle n'est plus utilisée dans l'exploration paraclinique cardiaque | V:  Elle peut mettre en évidence un épanchement péricardique
QCM || Question 208 :     Dans l'insuffisance cardiaque gauche on peut constater : ||   Hippocratisme digital | V:  Galop ventriculaire |   Hépatomégalie |   Jaunisse |   Ascite | V:  Cardiomégalie (hypertrophie ventriculaire gauche) | V:  Tachycardie |   Splénomégalie | V:  Rythme en 3 temps | V:  Choc de pointe dévié en bas et en dehors
QCM || Question 209 :     Les organes cibles atteintes de lʼHTA sont : || V:  Les artères |   Le foie | V:  Le cœur |   Les poumons | V:  Les yeux |   La rate |   Les veines | V:  Le rein |   Les téguments | V:  Le cerveau
QCM || Question 210 :     Les signes cliniques de l'insuffisance cardiaque droite peuvent être: ||   Râles ronflants | V:  Dilatation des veines jugulaires | V:  Hépatomégalie |   Frottement pleural | V:  Œdème des membres inférieurs |   Râles sifflants |   Frottement péricardique | V:  Reflux hépato-jugulaire | V:  Jugulaires turgescentes |   Rails crépitants
QCM || Question 211 :     Les affirmations suivantes concernant la sténose aortique sont vraies: || V:  Dans le rétrécissement aortique, la réduction de la surface de l'orifice aortique crée un obstacle à l'éjection du ventricule gauche. |   Dans la sténose aortique sévère, les valves aortiques sont souples, avec une mobilité normale |   En cas de sténose aortique sévère, les valves aortiques ne sont pas modifiées | V:  L'ouverture des valves aortiques en systole est réduite |   Dans la sténose aortique sévère, l'ouverture des valves aortiques en systole est normale | V:  Le passage du sang à travers de l'orifice aortique rétréci provoque un souffle systolique |   Le passage du sang à travers de l'orifice aortique rétréci provoque un souffle diastolique | V:  Dans les sténoses aortiques il existe une diminution de lʼouverture des valves aortiques | V:  La diminution de l'ouverture des valves aortiques pendant la systole peut être objectivée par lʼauscultation d'un souffle dans le foyer aortique |   Le passage du sang à travers l'orifice aortique rétréci provoque un galop
QCM || Question 212 :     Dans l'insuffisance cardiaque droite on peut constater: ||   Choc de pointe dévie en bas et en dehors | V:  Souffle systolique dans le foyer aortique |   Herpès nasolabial | V:  Rythme en 3 temps |   Splénomégalie | V:  Galop ventriculaire | V:  Tachycardie | V:  Signe de Harzer |   Angiomes stellaires |   Le choc du ventricule droite hypertrophié ou dilaté dans la région sous- xiphoïdienne
QCM || Question 213 :     Les affirmations suivantes concernant l'examen clinique des artères périphériques sont vraies: ||   L'auscultation des artères normales constate normalement des souffles |   La percussion est une méthode d'examen importante | V:  La palpation est une méthode d'examen importante |   La palpation des carotides est effectuée simultanément droite-gauche | V:  L'auscultation des artères touchées par la sténose révèle des souffles | V:  L'auscultation est une méthode d'examen importante |   L'inspection est une méthode d'examen importante |   L'auscultation des artères touchées par la sténose constate des sons sifflants | V:  L'auscultation des artères normales est sans souffle | V:  Les artères carotides droite et gauche ne doivent pas être palpées simultanément
QCM || Question 214 :     Les affirmations suivantes sur le déficit du pouls sont vraies: || V:  C'est la différence entre la fréquence cardiaque et le pouls périphérique |   C'est un signe clinique de l'endocardite infectieuse | V:  C'est un signe clinique de la fibrillation auriculaire |   C'est un signe clinique de l'insuffisance cardiaque | V:  Le déficit du pouls est dû au fait que pas toutes les contractions cardiaques sont perçues au niveau de l'artère radiale | V:  Il signifie que la palpation du pouls détecte une fréquence par minute légèrement inférieure à la fréquence cardiaque déterminée par l'auscultation du cœur |   C'est un syndrome cardiaque |   Le déficit du pouls est une constatation normale pour un adulte sain | V:  Pour confirme le déficit du pouls on combine la palpation (pouls périphérique) avec lʼauscultation (fréquence cardiaque) |   On utilise la percussion comme méthode d'examen clinique
QCM || Question 215 :     Les affirmations suivantes concernant l'hépatomégalie sont vraies: || V:  C'est un signe clinique | V:  Le bord supérieur du foie est déterminé par la percussion thoracique |   C'est un syndrome cardiaque |   C'est une maladie cardiaque |   Le bord supérieur du foie est déterminé par palpation | V:  Le bord supérieur du foie est situé dans l'espace intercostal en V droit sur la ligne medio claviculaire |   Le bord supérieur du foie se situe dans l'espace intercostal VII droit | V:  C'est un signe clinique de l'insuffisance cardiaque droite | V:  C'est un signe clinique de hépatopathie chronique |   C'est un symptôme cardiaque
QCM || Question 216 :     Les affirmations suivantes concernant les explorations paracliniques en cardiologie sont vraies: || V:  L'électrocardiogramme est la première exploration utilisée pour un patient avec douleur retrosternale | V:  L'échocardiographie quantifie la sévérité des lésions cardiaques |   L'électrocardiogramme n'est plus utilisé comme méthode paraclinique | V:  La coronarographie met en évidence les sténoses coronaires | V:  L'échocardiographie a des implications diagnostiques dans les valvulopathies |   L'échocardiographie n'a aucune implication diagnostique |   La détermination du pouls périphérique est une méthode paraclinique | V:  Les enzymes myocardiques sont déterminées quand on suspecte un infarctus du myocarde |   La détermination de la pression artérielle est une méthode paraclinique |   La coronarographie met en évidence le rythme cardiaque
QCM || Question 217 :     Les affirmations suivantes concernant la radiographie thoracique sont vraies: ||   Elle est la première méthode utilisée quand on suspecte un infarctus du myocarde | V:  Elle est utile pour explorer le système cardiovasculaire | V:  Pathologiquement on peut constater épanchement péricardique |   Il n'est plus utilisé dans l'exploration paraclinique du patient | V:  Pathologiquement on peut constater œdème pulmonaire | V:  C'est une méthode paraclinique | V:  Pathologiquement on peut constater cardiomégalie |   C'est une méthode clinique |   Elle est la première méthode utilisée quand on suspecte une angine de poitrine |   Elle nʼa aucune importance pour déterminer une cardiomégalie
QCM || Question 218 :     Les propositions suivantes concernant la claudication intermittente sont vraies : || V:  Elle survient après une distance donnée appelé périmètre de marche |   Elle est déterminée de la lombosciatique | V:  Elle est due à une ischémie des muscles de membres inférieurs |   Elle se manifeste au niveau de membres supérieurs | V:  Cʼest une douleur des membres inférieurs à type de crampe |   Elle est accompagnée de dyspnée | V:  Elle survient à la marche |   A lʼexamen clinique on constate pouls irrégulier |   A lʼexamen clinique on constate déficit du pouls | V:  Elle disparaît au repos
QCM || Question 219 : 	L'apparition d'une forte douleur brutale dans la poitrine suggère lʼembolie pulmonaire dans les situations suivantes : || V:  Post partum | V:  Post abortum | V:  Thrombophlébite profonde des membres inférieurs |   Jeunes | V:  Immobilisation prolongée | V:  Chirurgie (postopératoire) |   Exposition aux allergènes respiratoires |   Exposition au froid |   Hypertension artérielle |   Sportifs
QCM || Question 220 :     Les suivantes sont facteurs de risque cardiovasculaire : ||   Le sport | V:  Sexe masculin | V:  Tabac |   La consumation de fruits | V:  Sédentarité |   Age <50 ans | V:  Diabète |   Le régime sans selle | V:  Obésité |   Le régime hypoglucidique
QCM || Question 221 :     Les maladies suivantes peuvent provoquer une hypertension artérielle secondaire: ||   La cirrhose du foie |   Bronchopneumopathie chronique obstructive | V:  Sténose de l'artère rénale | V:  Hyperthyroïdie | V:  Diabète sucre |   Hépatite chronique |   Lithiase vésiculaire | V:  Maladies rénales chroniques |   Pneumonie | V:  Consommation d'anti-inflammatoires
QCM || Question 222 :     Les affirmations suivantes concernant les symptômes de l'HTA sont vraies: || V:  Le vertige est similaire à la lipothymie |   Une épistaxis peut survenir dans la poussée hypertensive | V:  Certains patients peuvent être asymptomatiques | V:  Les symptômes ne sont pas spécifiques seulement pour lʼHTA |   L'acouphène est une perception visuelle |   Les acouphènes sont dus à des lésions des artères carotides | V:  L'acouphène est un bruit dans les oreilles perçu par le patient avec HTA | V:  Les phosphènes sont des points lumineux du champ visuel perçus par le patient |   Les phosphènes sont des perceptions auditives |   Les phosphènes sont dus à des lésions de lʼaorte
QCM || Question 223 :     Les affirmations suivantes concernant lʼinspection de la region precordiale sont vraies : ||   Elle peut constater un souffle dans le foyer mitral | V:  Elle peut constater une déformation du thorax anterieur | V:  Elle peut constater patologiquement des pulsations anormales de lʼaorte ou des artères pulmonaires (dans le cas dʼun anévrisme) à lʼextrémité interne du 2ème espace intercostal droit et gauche | V:  Elle peut constater un anévrisme aortique abdominale |   Elle nʼa aucune importance pour lʼexamen cardiovasculaire |   Elle peut constater patologiquement le choc du ventricul droite dilaté | V:  Elle peut constater normalment le choc de la pointe dans le 5ème espace intercostal gauche sur la ligne medioclaviculaire |   Elle peut constater un souffle dans le foyer aortique | V:  Elle peut constater patologiquement le choc de la pointe déplacée en bas et en dehors de la ligne medioclaviculaire dans lʼhypertrophie du ventricul gauche |   Elle peut constater une hepatomegalie
QCM || Question 224 :     Les affirmations suivantes concernant l'infarctus aigu du myocarde sont vraies: || V:  Il est dû à une ischémie myocardique irréversible | V:  C'est une urgence cardiaque |   Elle est due à une occlusion incomplète d'une veine pulmonaire | V:  Il est dû à l'occlusion complète d'une artère coronaire | V:  Il signifie la nécrose (mort de cellules) dʼune partie du muscle cardiaque due à lʼocclusion complete dʼune artère coronaire par un thrombus |   Il est dû à une ischémie myocardique réversible et intermittente |   Elle est due à une plaque dʼathérome stabile et fixe au niveau d'une artère coronaire |   Elle est due à une occlusion incomplète d'une veine coronaire | V:  L'occlusion complète de l'artère coronaire est due à un thrombus au site de la plaque d dʼathérome compliquée par une ulcération/rupture |   Il se produit en raison d'une obstruction de la valve aortique
QCM || Question 225 :     On les retrouve dans l'embolie pulmonaire: || V:  Dyspnée |   Déficit du pouls | V:  Hémoptysie |   Vomissement | V:  Toux | V:  Expectoration strié de sang |   Hypersonorité thoracique |   Pyrosis | V:  Douleur thoracique forte et brutale |   Crise polyurique
QCM || Question 226 :     Laquelle des situations suivantes peuvent déclencher une crise d'angine ?: || V:  Repas copieux |   Inspiration profonde |   Mesure de la pression artérielle |   Pression sur la 5ème côte gauche | V:  Forte émotion | V:  Exposition au froid | V:  Stress |   Position allongée |   Position orthopnée | V:  Effort physique
QCM || Question 227 :     Choisissez la bonne réponse concernant la péricardite aiguë: ||   La douleur ne s'atténue qu'avec la morphine | V:  La douleur est soulagée en position assise et penchée en avant | V:  Elle représente une inflammation du péricarde | V:  Elle se manifeste par une douleur précordiale intense et persistante |   La douleur est causée par l'effort |   Elle se manifeste par une toux accompagnée d'expectorations |   La douleur est soulagée par l'administration de nitroglycérine |   La représente l'inflammation de la plèvre | V:  La douleur est augmentée à l'inspiration, | V:  La douleur est modifiée par les mouvements respiratoires
QCM || Question 228 :     Choisissez la bonne réponse concernant lʼinfarctus du myocard: ||   Même sans traitement, le myocarde nécrotique récupère toujours | V:  Il représente la nécrose d'une partie du muscle cardiaque due à l'occlusion d'une artère coronaire par un thrombus | V:  Elle survient suite à une complication par ruptures au site d'une rupture de la plaque athérosclérotique |   Elle ne s'accompagne jamais de signes cliniques | V:  Sans traitement, l'ischémie myocardique est irréversible |   La douleur apparaît toujours à l'effort | V:  La douleur survient brutalement le plus souvent au repos ou la nuit |   Il apparaît en raison d'une plaque d'athérome stable et non compliquée |   La douleur survient lors de la palpation de la région précordiale | V:  Elle peut apparaître spontanément sans facteurs déclencheurs
QCM || Question 229 :     Choisissez la bonne réponse concernant la douleur dans lʼinfarctus du myocarde: ||   Elle est diminuée en décubitus dorsal |   Elle est soulagée par la nitroglycérine |   Elle est soulagée par paracétamol | V:  Lʼirradiations classiques: cou, mâchoires, bras | V:  La durée est prolongée de 20min à plusieurs heurs | V:  Le type: serrant la poitrine, en coup de poignard | V:  Le siège est rétrosternale et médiothoracique, |   Elle est aggravée par l'inspiration profonde | V:  Intensité est violente |   Circonstances de survenue - apparition seulement après un effort
QCM || Question 230 :     Les principaux symptômes respiratoires comprennent : || V:  Dyspnée | V:  Hémoptysie |   Fatigabilité | V:  Expectoration | V:  Douleur thoracique |   Méléna | V:  Toux |   Céphalée occipitale |   Épigastralgie |   Rectorragie
QCM || Question 231 :     La douleur thoracique peut être causée par : || V:  Maladie cardiovasculaire |   Maladie du système génital | V:  Maladie broncho-pulmonaire |   Anémie | V:  Maladie pleurale | V:  Lésion nerveuse (névralgie intercostale) |   Syndrome de l'intestin irritable | V:  Lésions musculosquelettiques |   Néoplasies colorectales |   Insuffisance rénale
QCM || Question 232 :     Concernant la tachypnée, on peut dire ce qui suit : ||   Fréquence respiratoire < 10 respirations/min | V:  Elle peut apparaître dans les maladies pulmonaires et extrapulmonaires |   Ils surviennent exclusivement chez des patients atteints de maladies cardiovasculaires | V:  Les mouvements respiratoires ont une fréquence élevée | V:  Cʼest lʼaugmentation de lafréquence respiratoire |   Elle est rencontre seulement dans la pleurésie |   Elle est similaire à la bradypnée |   Elle n'apparaît qu'en cas d'atteinte du système digestif | V:  Fréquence respiratoire > 22 respirations/min | V:  Physiologiquement, il apparaît après l'effort physique et les émotions
QCM || Question 233 :     À propos de la toux, on peut dire : ||   Elle ne s'accompagne jamais d'expectoration | V:  Elle peut avoir un rôle défensif |   L'acte de toux se déroule dans un seul temps | V:  La toux peut être volontaire ou réflexe | V:  Elle peut s'accompagner d'hémoptysie | V:  Elle est un acte réflexe, déclenché le plus souvent par une irritation des voies respiratoires | V:  Elle peut être sèche ou grasse |   Elle ne se produit jamais chez les patients non-fumeurs |   Elle sʼest pas un symptôme de maladie respiratoire |   Elle ne s'accompagne jamais d'hémoptysie
